fname,maxPopul
popularity_export/F.csv,944922
popularity_export/GE.csv,863058
popularity_export/AAPL.csv,730774
popularity_export/AAL.csv,660430
popularity_export/MSFT.csv,655100
popularity_export/DIS.csv,633259
popularity_export/DAL.csv,599670
popularity_export/TSLA.csv,564645
popularity_export/CCL.csv,503011
popularity_export/GPRO.csv,494909
popularity_export/AMZN.csv,428402
popularity_export/PLUG.csv,393817
popularity_export/NCLH.csv,367573
popularity_export/BAC.csv,362034
popularity_export/SNAP.csv,360445
popularity_export/MRNA.csv,342446
popularity_export/UAL.csv,342071
popularity_export/BA.csv,340202
popularity_export/FIT.csv,334020
popularity_export/NIO.csv,283133
popularity_export/AMD.csv,264902
popularity_export/UBER.csv,262310
popularity_export/HEXO.csv,262153
popularity_export/INO.csv,259053
popularity_export/BABA.csv,256475
popularity_export/FB.csv,254208
popularity_export/CGC.csv,248203
popularity_export/RCL.csv,241306
popularity_export/NFLX.csv,236819
popularity_export/SAVE.csv,233612
popularity_export/TWTR.csv,233405
popularity_export/CRON.csv,225690
popularity_export/ZNGA.csv,221789
popularity_export/USO.csv,220905
popularity_export/GRPN.csv,220435
popularity_export/T.csv,218927
popularity_export/KO.csv,217422
popularity_export/APHA.csv,212318
popularity_export/MGM.csv,209797
popularity_export/NKLA.csv,207517
popularity_export/SBUX.csv,207303
popularity_export/MRO.csv,207042
popularity_export/LUV.csv,206151
popularity_export/GNUS.csv,201810
popularity_export/PFE.csv,200704
popularity_export/JBLU.csv,198428
popularity_export/MFA.csv,183744
popularity_export/OGI.csv,182808
popularity_export/HTZ.csv,175994
popularity_export/XOM.csv,170148
popularity_export/UCO.csv,166850
popularity_export/TOPS.csv,165944
popularity_export/NVDA.csv,157881
popularity_export/SPCE.csv,157346
popularity_export/AMC.csv,152500
popularity_export/IVR.csv,146823
popularity_export/WKHS.csv,145320
popularity_export/LK.csv,143912
popularity_export/VOO.csv,136586
popularity_export/GM.csv,136481
popularity_export/NOK.csv,132766
popularity_export/KODK.csv,132474
popularity_export/IDEX.csv,122809
popularity_export/DKNG.csv,121843
popularity_export/GILD.csv,121059
popularity_export/SPY.csv,118862
popularity_export/SQ.csv,118574
popularity_export/CPRX.csv,118050
popularity_export/CTST.csv,117877
popularity_export/CPE.csv,117675
popularity_export/NRZ.csv,115834
popularity_export/PENN.csv,113752
popularity_export/WORK.csv,110543
popularity_export/PLAY.csv,110511
popularity_export/SNE.csv,110422
popularity_export/TLRY.csv,109297
popularity_export/GOOGL.csv,107711
popularity_export/OAS.csv,106747
popularity_export/INTC.csv,106589
popularity_export/VSLR.csv,106551
popularity_export/SIRI.csv,105541
popularity_export/IBIO.csv,105106
popularity_export/NKE.csv,103823
popularity_export/XSPA.csv,103810
popularity_export/BRK.B.csv,102849
